date,stock_id,buy,name,sell
2024-12-09,2883,0,Foreign_Dealer_Self,0
2024-12-09,2883,3339000,Investment_Trust,16000
2024-12-09,2883,2000,Dealer_self,208000
2024-12-09,2883,669000,Dealer_Hedging,199000
2024-12-10,2883,24603914,Foreign_Investor,31307164
2024-12-10,2883,0,Foreign_Dealer_Self,0
2024-12-10,2883,3162000,Investment_Trust,31699
2024-12-10,2883,2000,Dealer_self,168000
2024-12-10,2883,850000,Dealer_Hedging,1288000
2024-12-11,2883,12449606,Foreign_Investor,20067214
2024-12-11,2883,0,Foreign_Dealer_Self,0
2024-12-11,2883,6473000,Investment_Trust,14248
2024-12-11,2883,649000,Dealer_self,858000
2024-12-11,2883,523000,Dealer_Hedging,333000
2024-12-12,2883,0,Foreign_Dealer_Self,0
2024-12-12,2883,3523000,Investment_Trust,1000
2024-12-12,2883,224000,Dealer_self,91000
2024-12-12,2883,1095797,Dealer_Hedging,989000
2024-12-12,2883,41800000,Foreign_Investor,19026463
2024-12-13,2883,3232800,Foreign_Investor,26679000
2024-12-13,2883,0,Foreign_Dealer_Self,0
2024-12-13,2883,7903000,Investment_Trust,11375
2024-12-13,2883,54000,Dealer_self,349000
2024-12-13,2883,733000,Dealer_Hedging,1925785
2024-12-16,2883,14038525,Foreign_Investor,11107000
2024-12-16,2883,0,Foreign_Dealer_Self,0
2024-12-16,2883,2152000,Investment_Trust,0
2024-12-16,2883,4000,Dealer_self,493000
2024-12-16,2883,1364000,Dealer_Hedging,973000
2024-12-17,2883,9921000,Foreign_Investor,71466273
2024-12-17,2883,0,Foreign_Dealer_Self,0
2024-12-17,2883,31733000,Investment_Trust,592375
2024-12-17,2883,451000,Dealer_self,663502
2024-12-17,2883,1467000,Dealer_Hedging,1778000
